Car Brand,Model,Year,Mileage,Fuel Type,Engine Size,Transmission,Body Type,Color,Owner History,Price,Age
mercedes,model c,2021,78051,diesel,3.6,manual,truck,white,third owner,25264.53,2
volkswagen,model a,2021,158290,diesel,3.0,automatic,hatchback,white,first owner,17648.16,2
kia,model a,2013,290316,electric,2.9,cvt,coupe,gray,first owner,15263.08,10
mercedes,model e,2011,282344,diesel,4.2,automatic,sedan,blue,third owner,14650.99,12
honda,model a,2004,148323,diesel,4.7,cvt,suv,white,first owner,11891.23,19
chevrolet,model e,2016,86933,hybrid,3.6,cvt,suv,gray,first owner,17018.98,7
toyota,model b,2010,28583,electric,1.0,automatic,coupe,red,second owner,16153.83,13
toyota,model c,2004,49286,diesel,1.3,automatic,truck,white,first owner,12495.54,19
nissan,model c,2014,121516,diesel,1.6,automatic,coupe,white,third owner,15838.85,9
toyota,model c,2015,187634,diesel,3.3,manual,sedan,red,third owner,13923.61,8
ford,model b,2002,86167,diesel,2.5,automatic,coupe,black,first owner,9742.61,21
honda,model d,2021,142738,hybrid,3.1,automatic,truck,white,second owner,18576.64,2
bmw,model e,2004,57778,petrol,2.3,automatic,suv,blue,second owner,17041.04,19
hyundai,model b,2003,5386,diesel,2.4,automatic,coupe,white,first owner,8188.41,20
hyundai,model e,2016,170841,diesel,2.8,manual,truck,white,first owner,14751.75,7
hyundai,model e,2019,22637,petrol,2.7,manual,truck,black,third owner,19369.48,4
kia,model c,2018,58585,diesel,1.4,cvt,truck,blue,first owner,18624.98,5
chevrolet,model b,2009,176492,electric,3.1,automatic,suv,blue,second owner,14497.63,14
volkswagen,model d,2009,243854,hybrid,2.1,cvt,sedan,white,third owner,8229.54,14
volkswagen,model a,2019,141921,electric,2.7,automatic,coupe,black,first owner,21857.47,4
kia,model a,2008,23411,diesel,1.2,manual,coupe,blue,first owner,11403.39,15
honda,model c,2007,144836,electric,3.9,cvt,suv,black,first owner,16868.72,16
chevrolet,model c,2003,205027,diesel,1.7,cvt,hatchback,red,first owner,7536.02,20
mercedes,model d,2004,226027,petrol,3.6,automatic,hatchback,blue,third owner,13726.71,19
toyota,model a,2016,142498,electric,3.4,manual,suv,white,second owner,19725.89,7
hyundai,model e,2011,167156,diesel,3.0,cvt,sedan,red,second owner,12385.86,12
chevrolet,model b,2018,142389,diesel,3.5,manual,hatchback,blue,third owner,18185.41,5
ford,model e,2017,45357,diesel,2.7,manual,hatchback,gray,third owner,15235.22,6
