Make,Model,Year,Mileage,Fuel Type,Engine Size,Transmission,Body Type,Color,Owner History,Price,Age
Nissan,Model D,2006,244586,Diesel,1.1,Automatic,Coupe,Red,Third Owner,6501.73,17
Honda,Model D,2006,89556,Electric,4.4,Automatic,Coupe,Gray,Second Owner,15860.51,17
Ford,Model E,2007,258273,Hybrid,1.4,Manual,SUV,Black,First Owner,8136.09,16
Kia,Model E,2023,217592,Electric,3.7,Automatic,Coupe,Red,Second Owner,18556.4,0
Chevrolet,Model C,2002,256919,Hybrid,2.8,Manual,SUV,Blue,Third Owner,7486.0,21
Ford,Model B,2004,17713,Petrol,2.6,Manual,Truck,White,Second Owner,11774.68,19
Volkswagen,Model B,2019,17154,Hybrid,4.1,Automatic,Hatchback,Black,Third Owner,18788.87,4
Mercedes,Model D,2013,236579,Electric,3.2,CVT,Sedan,White,First Owner,20476.66,10
Volkswagen,Model E,2019,280260,Diesel,3.4,Manual,Truck,Black,First Owner,14205.13,4
Kia,Model B,2001,157867,Electric,3.0,Manual,Sedan,White,Third Owner,8813.52,22
Nissan,Model C,2011,22746,Diesel,2.5,Manual,Coupe,Red,Second Owner,13531.68,12
BMW,Model D,2022,233106,Hybrid,2.6,Automatic,SUV,White,First Owner,22631.42,1
BMW,Model E,2000,163961,Hybrid,4.0,CVT,Hatchback,Red,First Owner,10551.99,23
Nissan,Model A,2002,272956,Hybrid,3.7,Manual,Truck,Red,Second Owner,7814.3,21
BMW,Model B,2008,36250,Electric,2.0,Automatic,Sedan,Blue,First Owner,22039.48,15
Chevrolet,Model B,2010,154623,Electric,1.0,CVT,Sedan,Blue,Third Owner,12400.83,13
Mercedes,Model C,2021,74203,Petrol,3.6,Manual,Hatchback,Blue,First Owner,23790.56,2
Volkswagen,Model E,2023,227197,Diesel,3.3,Manual,SUV,White,Second Owner,17907.51,0
Toyota,Model E,2011,130019,Petrol,3.1,CVT,SUV,Blue,Third Owner,15168.77,12
Chevrolet,Model A,2023,173228,Electric,1.0,Manual,Coupe,White,First Owner,21891.01,0
BMW,Model A,2016,106332,Hybrid,5.0,Manual,Hatchback,Black,First Owner,23445.14,7
Nissan,Model D,2010,168281,Petrol,2.2,Automatic,Hatchback,Gray,Third Owner,10890.33,13
Chevrolet,Model E,2003,291007,Hybrid,1.1,CVT,SUV,Red,Second Owner,5472.47,20
Volkswagen,Model D,2019,129108,Diesel,3.2,Manual,SUV,Black,Third Owner,16821.4,4
Toyota,Model E,2014,215514,Electric,2.4,Automatic,Sedan,Red,Second Owner,13758.8,9
Kia,Model D,2016,154756,Diesel,2.0,Manual,Sedan,Blue,First Owner,12730.71,7
Hyundai,Model E,2005,138330,Electric,1.3,Automatic,Truck,Blue,First Owner,12459.75,18
Toyota,Model A,2008,220561,Diesel,4.9,CVT,Truck,Black,Third Owner,11106.4,15
Chevrolet,Model C,2008,67787,Petrol,3.8,CVT,Hatchback,Red,Third Owner,10749.95,15
Volkswagen,Model B,2009,214579,Electric,3.8,CVT,Coupe,Gray,Second Owner,12625.83,14
Mercedes,Model E,2010,123637,Electric,4.4,CVT,SUV,Red,First Owner,20707.14,13
Volkswagen,Model C,2001,9550,Electric,1.7,Manual,Hatchback,White,First Owner,11490.15,22
Ford,Model A,2023,147913,Petrol,3.2,Manual,Sedan,Blue,Third Owner,20680.25,0
Nissan,Model D,2021,42061,Electric,2.6,CVT,Coupe,Black,First Owner,20974.22,2
Ford,Model E,2020,105002,Petrol,1.2,CVT,Truck,Gray,Third Owner,17255.08,3
Kia,Model A,2002,57891,Electric,2.4,Automatic,Hatchback,Black,First Owner,11954.77,21
Nissan,Model D,2002,253979,Electric,4.0,Manual,Sedan,Blue,First Owner,8847.38,21
Chevrolet,Model A,2002,90731,Electric,4.7,Automatic,SUV,White,Third Owner,11776.18,21
Kia,Model B,2023,30161,Electric,3.5,Manual,SUV,Red,Third Owner,24758.88,0
Volkswagen,Model C,2000,109658,Petrol,4.8,Manual,Hatchback,Blue,First Owner,7066.78,23
Mercedes,Model B,2007,110036,Diesel,3.9,Automatic,Coupe,Red,Third Owner,17987.14,16
Toyota,Model A,2006,235806,Electric,2.8,Manual,Coupe,Black,Third Owner,12101.23,17
Nissan,Model D,2019,29851,Hybrid,3.3,Manual,SUV,Black,Second Owner,18184.21,4
Nissan,Model E,2002,52209,Diesel,2.9,Manual,Sedan,Red,Second Owner,11301.17,21
Chevrolet,Model B,2000,59077,Hybrid,3.2,Manual,Coupe,Red,Third Owner,6532.56,23
Chevrolet,Model B,2022,202287,Hybrid,4.2,Automatic,Coupe,Blue,First Owner,15273.52,1
Volkswagen,Model E,2005,132200,Electric,2.8,CVT,Sedan,White,Second Owner,15204.53,18
Kia,Model E,2022,83303,Petrol,4.4,CVT,Truck,Red,Second Owner,18868.35,1
Hyundai,Model D,2019,151303,Diesel,1.3,Manual,Truck,Black,First Owner,14165.35,4
Honda,Model E,2008,213451,Petrol,3.6,Automatic,Sedan,Black,Second Owner,7792.73,15
Hyundai,Model C,2019,294168,Diesel,1.1,Automatic,Hatchback,Blue,Third Owner,16218.44,4
Chevrolet,Model B,2009,176492,Electric,3.1,Automatic,SUV,Blue,Second Owner,14497.63,14
Honda,Model C,2021,93910,Petrol,4.9,Manual,Sedan,Black,First Owner,20826.23,2
Kia,Model D,2013,175747,Hybrid,2.7,Automatic,Truck,Blue,Third Owner,12209.21,10
Honda,Model E,2005,137220,Diesel,4.6,CVT,SUV,Red,First Owner,9678.44,18
Toyota,Model A,2022,247179,Diesel,3.9,CVT,Coupe,Gray,Second Owner,17302.21,1
Kia,Model D,2001,238423,Diesel,3.1,Automatic,Truck,Black,First Owner,7439.84,22
Nissan,Model E,2019,62641,Electric,4.9,Manual,Sedan,Gray,Third Owner,19237.56,4
Mercedes,Model A,2011,214332,Diesel,2.8,Manual,Sedan,White,Second Owner,14089.36,12
Ford,Model B,2004,79028,Electric,3.2,Manual,Sedan,Blue,Second Owner,13087.56,19
Ford,Model A,2013,296611,Hybrid,4.5,Automatic,Truck,White,Third Owner,10019.65,10
Volkswagen,Model A,2011,192135,Hybrid,4.1,CVT,SUV,Black,Second Owner,11011.94,12
Chevrolet,Model C,2002,42454,Electric,4.2,Manual,SUV,Blue,First Owner,14199.42,21
BMW,Model D,2008,63537,Diesel,4.1,Automatic,SUV,Gray,Third Owner,17519.89,15
Honda,Model C,2019,7157,Hybrid,2.7,Automatic,Truck,White,Second Owner,17692.82,4
BMW,Model C,2018,54966,Petrol,1.7,Automatic,Hatchback,Red,Third Owner,22096.36,5
Hyundai,Model B,2011,109842,Diesel,4.8,Manual,SUV,Black,Second Owner,15117.77,12
Honda,Model A,2003,89447,Diesel,2.9,Automatic,SUV,White,Third Owner,10777.04,20
Honda,Model B,2013,42118,Petrol,1.7,CVT,Coupe,White,First Owner,14656.75,10
Chevrolet,Model B,2007,187352,Electric,2.7,CVT,Truck,Blue,Third Owner,10000.82,16
Chevrolet,Model A,2004,33565,Petrol,4.1,CVT,Coupe,Red,Third Owner,11741.87,19
Hyundai,Model E,2016,170841,Diesel,2.8,Manual,Truck,White,First Owner,14751.75,7
Kia,Model E,2017,12672,Petrol,2.2,Manual,Truck,Red,First Owner,18377.86,6
Kia,Model A,2011,124526,Petrol,2.9,Manual,Coupe,Black,Second Owner,12782.11,12
Nissan,Model B,2002,119572,Diesel,4.5,CVT,Truck,Red,Second Owner,9907.13,21
BMW,Model B,2014,250907,Diesel,3.5,CVT,Sedan,Gray,First Owner,17903.96,9
Hyundai,Model E,2003,249511,Hybrid,2.0,Automatic,SUV,Red,Second Owner,8823.86,20
Honda,Model E,2018,10016,Hybrid,2.4,Automatic,SUV,Blue,Third Owner,19283.16,5
Hyundai,Model E,2012,232661,Petrol,3.1,CVT,Truck,Red,First Owner,11874.21,11
Toyota,Model E,2012,118243,Hybrid,2.1,Manual,Hatchback,Black,Third Owner,13022.53,11
Nissan,Model B,2017,126575,Electric,1.4,Automatic,Sedan,Red,Third Owner,18990.7,6
Kia,Model D,2019,269649,Electric,1.8,Automatic,Truck,White,Second Owner,18865.29,4
Toyota,Model D,2023,274269,Hybrid,1.2,Manual,Hatchback,White,Second Owner,18562.78,0
BMW,Model B,2005,111575,Electric,3.9,Automatic,Sedan,Red,Third Owner,20261.38,18
Hyundai,Model E,2012,65381,Diesel,4.8,Automatic,Truck,White,Second Owner,12878.81,11
BMW,Model B,2000,78165,Hybrid,3.8,Automatic,Hatchback,Blue,Third Owner,14434.45,23
Mercedes,Model E,2003,70426,Diesel,2.6,CVT,Coupe,Red,Second Owner,14991.07,20
Honda,Model C,2000,82342,Hybrid,4.6,Automatic,Sedan,Red,Second Owner,9477.43,23
Hyundai,Model A,2022,129603,Hybrid,5.0,CVT,Sedan,Blue,Second Owner,20313.92,1
Toyota,Model B,2008,139667,Petrol,2.4,CVT,Truck,White,Third Owner,12770.48,15
Ford,Model A,2021,70264,Diesel,3.3,Manual,Hatchback,Black,Third Owner,19153.43,2
Toyota,Model A,2017,52561,Petrol,4.0,CVT,SUV,White,Second Owner,18632.18,6
Volkswagen,Model B,2019,128149,Hybrid,1.1,CVT,SUV,Black,Second Owner,18669.5,4
Honda,Model C,2002,163807,Diesel,4.0,Manual,Sedan,Blue,First Owner,6092.01,21
Chevrolet,Model D,2016,156282,Hybrid,1.4,Manual,Hatchback,White,Second Owner,14594.7,7
BMW,Model E,2000,43818,Diesel,4.5,Automatic,SUV,Red,Second Owner,12363.6,23
Nissan,Model E,2021,8740,Electric,1.2,Manual,Truck,Red,First Owner,22380.1,2
Chevrolet,Model C,2018,75490,Hybrid,2.1,Manual,Sedan,Blue,Third Owner,18918.01,5
BMW,Model D,2012,237511,Hybrid,1.3,Manual,Sedan,Blue,Second Owner,17664.95,11
Kia,Model E,2016,89617,Hybrid,1.4,CVT,Hatchback,Gray,First Owner,14521.19,7
Honda,Model E,2008,163927,Diesel,2.4,Automatic,Hatchback,Black,First Owner,9990.09,15
Nissan,Model D,2022,231167,Petrol,2.4,CVT,Sedan,Gray,Third Owner,18038.89,1
Chevrolet,Model A,2023,221790,Hybrid,1.9,Manual,Hatchback,Gray,Second Owner,15472.84,0
Honda,Model D,2005,246597,Petrol,2.3,CVT,Truck,Black,Second Owner,9793.19,18
Hyundai,Model A,2015,77539,Petrol,4.2,Manual,SUV,Blue,First Owner,16023.34,8
BMW,Model A,2002,144584,Petrol,3.7,Automatic,Truck,Red,Third Owner,16477.16,21
Kia,Model B,2015,84548,Diesel,2.3,Manual,Sedan,Black,Third Owner,16340.13,8
Chevrolet,Model E,2002,69607,Hybrid,4.9,Manual,Hatchback,White,Second Owner,10482.59,21
Honda,Model A,2004,216003,Electric,2.4,Manual,SUV,White,First Owner,9587.86,19
Toyota,Model B,2012,246164,Diesel,4.1,CVT,Truck,Gray,Second Owner,13176.08,11
Honda,Model D,2015,78067,Hybrid,2.3,Automatic,Sedan,Blue,Third Owner,15822.71,8
Mercedes,Model D,2014,208904,Petrol,3.9,Automatic,Hatchback,Gray,Third Owner,18709.06,9
Honda,Model E,2000,90144,Electric,4.3,Manual,Coupe,Black,Third Owner,13161.47,23
Ford,Model E,2010,295419,Electric,4.8,Manual,Truck,Black,Third Owner,14487.1,13
Volkswagen,Model A,2007,31701,Diesel,3.6,Automatic,Sedan,Gray,Second Owner,13315.01,16
Toyota,Model A,2015,116221,Petrol,4.1,Automatic,Hatchback,Red,Second Owner,17009.17,8
Hyundai,Model C,2020,157901,Hybrid,3.8,Manual,Hatchback,Gray,Third Owner,16820.26,3
Hyundai,Model C,2022,252169,Diesel,4.0,Automatic,SUV,Gray,Third Owner,18032.66,1
Ford,Model B,2004,278588,Petrol,2.3,CVT,Hatchback,Black,Third Owner,7144.69,19
Chevrolet,Model E,2010,58047,Diesel,1.2,Manual,SUV,White,Second Owner,13718.31,13
Toyota,Model E,2015,64964,Hybrid,1.9,CVT,SUV,Gray,Second Owner,14492.95,8
Nissan,Model C,2007,280994,Hybrid,3.3,CVT,Hatchback,Blue,Third Owner,10255.83,16
Volkswagen,Model D,2023,292059,Diesel,3.1,Manual,Truck,Gray,Second Owner,17783.25,0
BMW,Model B,2015,152165,Petrol,3.9,Automatic,Sedan,White,Third Owner,19284.21,8
Mercedes,Model B,2019,74356,Petrol,2.5,Automatic,Sedan,Gray,Second Owner,21643.55,4
Toyota,Model D,2011,259026,Diesel,2.3,Manual,Hatchback,White,Third Owner,12144.18,12
Volkswagen,Model B,2015,206500,Electric,1.2,CVT,Sedan,White,Third Owner,14695.08,8
Toyota,Model E,2008,282080,Petrol,3.1,Automatic,Truck,Red,First Owner,9998.06,15
Ford,Model B,2021,296221,Electric,2.2,CVT,Truck,Blue,Second Owner,20356.72,2
Nissan,Model A,2009,20529,Petrol,1.7,Manual,SUV,Red,Third Owner,13666.44,14
Kia,Model E,2020,63795,Petrol,2.3,CVT,Truck,Red,First Owner,16988.39,3
Toyota,Model A,2018,99119,Petrol,5.0,Manual,Truck,Red,First Owner,18447.0,5
