Car Brand,Model,Year,Mileage,Fuel Type,Engine Size,Transmission,Body Type,Color,Owner History,Price,Age
nissan,model d,2006,244586,diesel,1.1,automatic,coupe,red,third owner,6501.73,17
honda,model d,2006,89556,electric,4.4,automatic,coupe,gray,second owner,15860.51,17
ford,model e,2007,258273,hybrid,1.4,manual,suv,black,first owner,8136.09,16
kia,model e,2023,217592,electric,3.7,automatic,coupe,red,second owner,18556.4,0
chevrolet,model c,2002,256919,hybrid,2.8,manual,suv,blue,third owner,7486.0,21
ford,model b,2004,17713,petrol,2.6,manual,truck,white,second owner,11774.68,19
volkswagen,model b,2019,17154,hybrid,4.1,automatic,hatchback,black,third owner,18788.87,4
mercedes,model d,2013,236579,electric,3.2,cvt,sedan,white,first owner,20476.66,10
volkswagen,model e,2019,280260,diesel,3.4,manual,truck,black,first owner,14205.13,4
kia,model b,2001,157867,electric,3.0,manual,sedan,white,third owner,8813.52,22
nissan,model c,2011,22746,diesel,2.5,manual,coupe,red,second owner,13531.68,12
bmw,model d,2022,233106,hybrid,2.6,automatic,suv,white,first owner,22631.42,1
bmw,model e,2000,163961,hybrid,4.0,cvt,hatchback,red,first owner,10551.99,23
nissan,model a,2002,272956,hybrid,3.7,manual,truck,red,second owner,7814.3,21
bmw,model b,2008,36250,electric,2.0,automatic,sedan,blue,first owner,22039.48,15
chevrolet,model b,2010,154623,electric,1.0,cvt,sedan,blue,third owner,12400.83,13
mercedes,model c,2021,74203,petrol,3.6,manual,hatchback,blue,first owner,23790.56,2
volkswagen,model e,2023,227197,diesel,3.3,manual,suv,white,second owner,17907.51,0
toyota,model e,2011,130019,petrol,3.1,cvt,suv,blue,third owner,15168.77,12
chevrolet,model a,2023,173228,electric,1.0,manual,coupe,white,first owner,21891.01,0
bmw,model a,2016,106332,hybrid,5.0,manual,hatchback,black,first owner,23445.14,7
nissan,model d,2010,168281,petrol,2.2,automatic,hatchback,gray,third owner,10890.33,13
chevrolet,model e,2003,291007,hybrid,1.1,cvt,suv,red,second owner,5472.47,20
volkswagen,model d,2019,129108,diesel,3.2,manual,suv,black,third owner,16821.4,4
toyota,model e,2014,215514,electric,2.4,automatic,sedan,red,second owner,13758.8,9
kia,model d,2016,154756,diesel,2.0,manual,sedan,blue,first owner,12730.71,7
hyundai,model e,2005,138330,electric,1.3,automatic,truck,blue,first owner,12459.75,18
toyota,model a,2008,220561,diesel,4.9,cvt,truck,black,third owner,11106.4,15
chevrolet,model c,2008,67787,petrol,3.8,cvt,hatchback,red,third owner,10749.95,15
volkswagen,model b,2009,214579,electric,3.8,cvt,coupe,gray,second owner,12625.83,14
mercedes,model e,2010,123637,electric,4.4,cvt,suv,red,first owner,20707.14,13
volkswagen,model c,2001,9550,electric,1.7,manual,hatchback,white,first owner,11490.15,22
ford,model a,2023,147913,petrol,3.2,manual,sedan,blue,third owner,20680.25,0
nissan,model d,2021,42061,electric,2.6,cvt,coupe,black,first owner,20974.22,2
ford,model e,2020,105002,petrol,1.2,cvt,truck,gray,third owner,17255.08,3
kia,model a,2002,57891,electric,2.4,automatic,hatchback,black,first owner,11954.77,21
nissan,model d,2002,253979,electric,4.0,manual,sedan,blue,first owner,8847.38,21
chevrolet,model a,2002,90731,electric,4.7,automatic,suv,white,third owner,11776.18,21
kia,model b,2023,30161,electric,3.5,manual,suv,red,third owner,24758.88,0
volkswagen,model c,2000,109658,petrol,4.8,manual,hatchback,blue,first owner,7066.78,23
mercedes,model b,2007,110036,diesel,3.9,automatic,coupe,red,third owner,17987.14,16
toyota,model a,2006,235806,electric,2.8,manual,coupe,black,third owner,12101.23,17
nissan,model d,2019,29851,hybrid,3.3,manual,suv,black,second owner,18184.21,4
nissan,model e,2002,52209,diesel,2.9,manual,sedan,red,second owner,11301.17,21
chevrolet,model b,2000,59077,hybrid,3.2,manual,coupe,red,third owner,6532.56,23
chevrolet,model b,2022,202287,hybrid,4.2,automatic,coupe,blue,first owner,15273.52,1
volkswagen,model e,2005,132200,electric,2.8,cvt,sedan,white,second owner,15204.53,18
kia,model e,2022,83303,petrol,4.4,cvt,truck,red,second owner,18868.35,1
hyundai,model d,2019,151303,diesel,1.3,manual,truck,black,first owner,14165.35,4
honda,model e,2008,213451,petrol,3.6,automatic,sedan,black,second owner,7792.73,15
hyundai,model c,2019,294168,diesel,1.1,automatic,hatchback,blue,third owner,16218.44,4
chevrolet,model b,2009,176492,electric,3.1,automatic,suv,blue,second owner,14497.63,14
honda,model c,2021,93910,petrol,4.9,manual,sedan,black,first owner,20826.23,2
kia,model d,2013,175747,hybrid,2.7,automatic,truck,blue,third owner,12209.21,10
honda,model e,2005,137220,diesel,4.6,cvt,suv,red,first owner,9678.44,18
toyota,model a,2022,247179,diesel,3.9,cvt,coupe,gray,second owner,17302.21,1
kia,model d,2001,238423,diesel,3.1,automatic,truck,black,first owner,7439.84,22
nissan,model e,2019,62641,electric,4.9,manual,sedan,gray,third owner,19237.56,4
mercedes,model a,2011,214332,diesel,2.8,manual,sedan,white,second owner,14089.36,12
ford,model b,2004,79028,electric,3.2,manual,sedan,blue,second owner,13087.56,19
ford,model a,2013,296611,hybrid,4.5,automatic,truck,white,third owner,10019.65,10
volkswagen,model a,2011,192135,hybrid,4.1,cvt,suv,black,second owner,11011.94,12
chevrolet,model c,2002,42454,electric,4.2,manual,suv,blue,first owner,14199.42,21
bmw,model d,2008,63537,diesel,4.1,automatic,suv,gray,third owner,17519.89,15
honda,model c,2019,7157,hybrid,2.7,automatic,truck,white,second owner,17692.82,4
bmw,model c,2018,54966,petrol,1.7,automatic,hatchback,red,third owner,22096.36,5
hyundai,model b,2011,109842,diesel,4.8,manual,suv,black,second owner,15117.77,12
honda,model a,2003,89447,diesel,2.9,automatic,suv,white,third owner,10777.04,20
honda,model b,2013,42118,petrol,1.7,cvt,coupe,white,first owner,14656.75,10
chevrolet,model b,2007,187352,electric,2.7,cvt,truck,blue,third owner,10000.82,16
chevrolet,model a,2004,33565,petrol,4.1,cvt,coupe,red,third owner,11741.87,19
hyundai,model e,2016,170841,diesel,2.8,manual,truck,white,first owner,14751.75,7
kia,model e,2017,12672,petrol,2.2,manual,truck,red,first owner,18377.86,6
kia,model a,2011,124526,petrol,2.9,manual,coupe,black,second owner,12782.11,12
nissan,model b,2002,119572,diesel,4.5,cvt,truck,red,second owner,9907.13,21
bmw,model b,2014,250907,diesel,3.5,cvt,sedan,gray,first owner,17903.96,9
hyundai,model e,2003,249511,hybrid,2.0,automatic,suv,red,second owner,8823.86,20
honda,model e,2018,10016,hybrid,2.4,automatic,suv,blue,third owner,19283.16,5
hyundai,model e,2012,232661,petrol,3.1,cvt,truck,red,first owner,11874.21,11
toyota,model e,2012,118243,hybrid,2.1,manual,hatchback,black,third owner,13022.53,11
nissan,model b,2017,126575,electric,1.4,automatic,sedan,red,third owner,18990.7,6
kia,model d,2019,269649,electric,1.8,automatic,truck,white,second owner,18865.29,4
toyota,model d,2023,274269,hybrid,1.2,manual,hatchback,white,second owner,18562.78,0
bmw,model b,2005,111575,electric,3.9,automatic,sedan,red,third owner,20261.38,18
hyundai,model e,2012,65381,diesel,4.8,automatic,truck,white,second owner,12878.81,11
bmw,model b,2000,78165,hybrid,3.8,automatic,hatchback,blue,third owner,14434.45,23
mercedes,model e,2003,70426,diesel,2.6,cvt,coupe,red,second owner,14991.07,20
honda,model c,2000,82342,hybrid,4.6,automatic,sedan,red,second owner,9477.43,23
hyundai,model a,2022,129603,hybrid,5.0,cvt,sedan,blue,second owner,20313.92,1
toyota,model b,2008,139667,petrol,2.4,cvt,truck,white,third owner,12770.48,15
ford,model a,2021,70264,diesel,3.3,manual,hatchback,black,third owner,19153.43,2
toyota,model a,2017,52561,petrol,4.0,cvt,suv,white,second owner,18632.18,6
volkswagen,model b,2019,128149,hybrid,1.1,cvt,suv,black,second owner,18669.5,4
honda,model c,2002,163807,diesel,4.0,manual,sedan,blue,first owner,6092.01,21
chevrolet,model d,2016,156282,hybrid,1.4,manual,hatchback,white,second owner,14594.7,7
bmw,model e,2000,43818,diesel,4.5,automatic,suv,red,second owner,12363.6,23
nissan,model e,2021,8740,electric,1.2,manual,truck,red,first owner,22380.1,2
chevrolet,model c,2018,75490,hybrid,2.1,manual,sedan,blue,third owner,18918.01,5
bmw,model d,2012,237511,hybrid,1.3,manual,sedan,blue,second owner,17664.95,11
kia,model e,2016,89617,hybrid,1.4,cvt,hatchback,gray,first owner,14521.19,7
honda,model e,2008,163927,diesel,2.4,automatic,hatchback,black,first owner,9990.09,15
nissan,model d,2022,231167,petrol,2.4,cvt,sedan,gray,third owner,18038.89,1
chevrolet,model a,2023,221790,hybrid,1.9,manual,hatchback,gray,second owner,15472.84,0
honda,model d,2005,246597,petrol,2.3,cvt,truck,black,second owner,9793.19,18
hyundai,model a,2015,77539,petrol,4.2,manual,suv,blue,first owner,16023.34,8
bmw,model a,2002,144584,petrol,3.7,automatic,truck,red,third owner,16477.16,21
kia,model b,2015,84548,diesel,2.3,manual,sedan,black,third owner,16340.13,8
chevrolet,model e,2002,69607,hybrid,4.9,manual,hatchback,white,second owner,10482.59,21
honda,model a,2004,216003,electric,2.4,manual,suv,white,first owner,9587.86,19
toyota,model b,2012,246164,diesel,4.1,cvt,truck,gray,second owner,13176.08,11
honda,model d,2015,78067,hybrid,2.3,automatic,sedan,blue,third owner,15822.71,8
mercedes,model d,2014,208904,petrol,3.9,automatic,hatchback,gray,third owner,18709.06,9
honda,model e,2000,90144,electric,4.3,manual,coupe,black,third owner,13161.47,23
ford,model e,2010,295419,electric,4.8,manual,truck,black,third owner,14487.1,13
volkswagen,model a,2007,31701,diesel,3.6,automatic,sedan,gray,second owner,13315.01,16
toyota,model a,2015,116221,petrol,4.1,automatic,hatchback,red,second owner,17009.17,8
hyundai,model c,2020,157901,hybrid,3.8,manual,hatchback,gray,third owner,16820.26,3
hyundai,model c,2022,252169,diesel,4.0,automatic,suv,gray,third owner,18032.66,1
ford,model b,2004,278588,petrol,2.3,cvt,hatchback,black,third owner,7144.69,19
chevrolet,model e,2010,58047,diesel,1.2,manual,suv,white,second owner,13718.31,13
toyota,model e,2015,64964,hybrid,1.9,cvt,suv,gray,second owner,14492.95,8
nissan,model c,2007,280994,hybrid,3.3,cvt,hatchback,blue,third owner,10255.83,16
volkswagen,model d,2023,292059,diesel,3.1,manual,truck,gray,second owner,17783.25,0
bmw,model b,2015,152165,petrol,3.9,automatic,sedan,white,third owner,19284.21,8
mercedes,model b,2019,74356,petrol,2.5,automatic,sedan,gray,second owner,21643.55,4
toyota,model d,2011,259026,diesel,2.3,manual,hatchback,white,third owner,12144.18,12
volkswagen,model b,2015,206500,electric,1.2,cvt,sedan,white,third owner,14695.08,8
toyota,model e,2008,282080,petrol,3.1,automatic,truck,red,first owner,9998.06,15
ford,model b,2021,296221,electric,2.2,cvt,truck,blue,second owner,20356.72,2
nissan,model a,2009,20529,petrol,1.7,manual,suv,red,third owner,13666.44,14
kia,model e,2020,63795,petrol,2.3,cvt,truck,red,first owner,16988.39,3
toyota,model a,2018,99119,petrol,5.0,manual,truck,red,first owner,18447.0,5
nissan,model e,2017,251332,petrol,4.5,manual,coupe,red,first owner,14851.03,6
nissan,model c,2011,70580,petrol,1.4,manual,truck,blue,first owner,13565.59,12
bmw,model a,2005,83278,petrol,4.6,cvt,coupe,red,first owner,16840.26,18
nissan,model d,2006,198874,petrol,3.4,automatic,truck,blue,second owner,7792.28,17
volkswagen,model c,2000,222409,petrol,2.1,automatic,truck,red,second owner,7043.94,23
chevrolet,model b,2018,194282,electric,1.1,cvt,truck,black,third owner,17733.46,5
toyota,model c,2013,78208,diesel,2.2,automatic,suv,blue,first owner,15783.71,10
chevrolet,model a,2011,84964,hybrid,5.0,cvt,hatchback,blue,second owner,12405.62,12
hyundai,model e,2011,187848,petrol,2.4,cvt,sedan,red,third owner,10730.29,12
kia,model d,2003,61463,petrol,4.4,manual,truck,white,second owner,8262.12,20
chevrolet,model d,2020,269595,diesel,4.6,manual,sedan,red,third owner,15828.99,3
volkswagen,model a,2006,72647,electric,3.9,manual,sedan,blue,second owner,15331.02,17
hyundai,model a,2004,199591,diesel,3.1,manual,coupe,black,first owner,6086.96,19
ford,model a,2012,31339,hybrid,2.1,manual,truck,white,third owner,14105.39,11
chevrolet,model c,2018,179223,petrol,1.2,cvt,hatchback,black,first owner,16456.25,5
hyundai,model a,2013,251237,electric,3.1,cvt,suv,blue,first owner,13704.31,10
bmw,model b,2022,22905,hybrid,4.6,automatic,truck,gray,third owner,25188.54,1
chevrolet,model a,2019,146501,petrol,2.2,automatic,coupe,red,second owner,16922.23,4
honda,model a,2023,102091,petrol,1.8,manual,sedan,red,third owner,20851.01,0
chevrolet,model c,2017,32228,hybrid,3.4,automatic,coupe,black,third owner,15124.84,6
toyota,model b,2002,274327,hybrid,3.9,cvt,hatchback,white,first owner,5944.43,21
honda,model d,2007,159344,petrol,1.8,manual,suv,red,third owner,7309.8,16
