Make,Model,Year,Mileage,Fuel_Type,Engine_Size,Transmission,Body_Type,Color,Owner_History,Price,Age
nissan,model d,-0.7967319467527691,1.079847584644146,diesel,-1.6221131466229999,automatic,coupe,red,third owner,6501.73,0.7967319467527562
honda,model d,-0.7967319467527691,-0.7684773151168842,electric,1.2348630142693233,automatic,coupe,gray,second owner,15860.51,0.7967319467527562
ford,model e,-0.6525270695124513,1.243029052121597,hybrid,-1.3623880410873344,manual,suv,black,first owner,8136.09,0.6525270695124383
kia,model e,1.654750966332634,0.7580151499918255,electric,0.6288377680194365,automatic,coupe,red,second owner,18556.4,-1.6547509663326474
chevrolet,model c,-1.3735514557140405,1.2268861642013464,hybrid,-0.15033754858756104,manual,suv,blue,third owner,7486.0,1.3735514557140276
ford,model b,-1.0851417012334048,-1.6250160867967636,petrol,-0.3234876189446713,manual,truck,white,second owner,11774.68,1.085141701233392
volkswagen,model b,1.0779314573713628,-1.631680691189245,hybrid,0.9751379087336569,automatic,hatchback,black,third owner,18788.87,-1.0779314573713759
mercedes,model d,0.2127021939294557,0.9843851743210693,electric,0.19596259212666023,cvt,sedan,white,first owner,20476.66,-0.2127021939294688
volkswagen,model e,1.0779314573713628,1.505166184102799,diesel,0.36911266248377045,manual,truck,black,first owner,14205.13,-1.0779314573713759
kia,model b,-1.5177563329543584,0.04595164848742292,electric,0.022812521769549583,manual,sedan,white,third owner,8813.52,1.5177563329543455
nissan,model c,-0.07570756055117998,-1.5650108025259948,diesel,-0.4100626541232266,manual,coupe,red,second owner,13531.68,0.07570756055116692
bmw,model d,1.5105460890923161,0.942978786029319,hybrid,-0.3234876189446713,automatic,suv,white,first owner,22631.42,-1.5105460890923295
bmw,model e,-1.6619612101946761,0.11860656649776749,hybrid,0.888562873555102,cvt,hatchback,red,first owner,10551.99,1.6619612101946633
nissan,model a,-1.3735514557140405,1.418085199339498,hybrid,0.6288377680194365,manual,truck,red,second owner,7814.3,1.3735514557140276
bmw,model b,-0.5083221922721335,-1.4040111286153134,electric,-0.8429378300160029,automatic,sedan,blue,first owner,22039.48,0.5083221922721205
chevrolet,model b,-0.21991243779149783,0.0072754827464387144,electric,-1.7086881818015554,cvt,sedan,blue,third owner,12400.83,0.21991243779148478
mercedes,model c,1.3663412118519984,-0.9515214497103893,petrol,0.5422627328408811,manual,hatchback,blue,first owner,23790.56,-1.3663412118520115
volkswagen,model e,1.654750966332634,0.8725295063241785,diesel,0.28253762730521514,manual,suv,white,second owner,17907.51,-1.6547509663326474
toyota,model e,-0.07570756055117998,-0.2860624894764884,petrol,0.1093875569481049,cvt,suv,blue,third owner,15168.77,0.07570756055116692
chevrolet,model a,1.654750966332634,0.2290911620346666,electric,-1.7086881818015554,manual,coupe,white,first owner,21891.01,-1.6547509663326474
bmw,model a,0.6453168256504092,-0.5684676491271335,hybrid,1.7543132253406544,manual,hatchback,black,first owner,23445.14,-0.6453168256504224
nissan,model d,-0.21991243779149783,0.1701112015165874,petrol,-0.6697877596588921,automatic,hatchback,gray,third owner,10890.33,0.21991243779148478
chevrolet,model e,-1.2293465784737228,1.633295886081331,hybrid,-1.6221131466229999,cvt,suv,red,second owner,5472.47,1.2293465784737099
volkswagen,model d,1.0779314573713628,-0.29692376783346636,diesel,0.19596259212666023,manual,suv,black,third owner,16821.4,-1.0779314573713759
toyota,model e,0.35690707116977355,0.7332404667582357,electric,-0.4966376893017819,automatic,sedan,red,second owner,13758.8,-0.35690707116978665
kia,model d,0.6453168256504092,0.008861157852342198,diesel,-0.8429378300160029,manual,sedan,blue,first owner,12730.71,-0.6453168256504224
hyundai,model e,-0.940936823993087,-0.18697567891134664,electric,-1.4489630762658894,automatic,truck,blue,first owner,12459.75,0.9409368239930741
toyota,model a,-0.5083221922721335,0.7934126641980468,diesel,1.6677381901620996,cvt,truck,black,third owner,11106.4,0.5083221922721205
chevrolet,model c,-0.5083221922721335,-1.0280153706087107,petrol,0.7154128031979914,cvt,hatchback,red,third owner,10749.95,0.5083221922721205
volkswagen,model b,-0.36411731503181566,0.722093051540042,electric,0.7154128031979914,cvt,coupe,gray,second owner,12625.83,0.3641173150318026
mercedes,model e,-0.21991243779149783,-0.36215104982142093,electric,1.2348630142693233,cvt,suv,red,first owner,20707.14,0.21991243779148478
volkswagen,model c,-1.5177563329543584,-1.722338386717742,electric,-1.1026629355516686,manual,hatchback,white,first owner,11490.15,1.5177563329543455
ford,model a,1.654750966332634,-0.07272361470177462,petrol,0.19596259212666023,manual,sedan,blue,third owner,20680.25,-1.6547509663326474
nissan,model d,1.3663412118519984,-1.3347302410934703,electric,-0.3234876189446713,cvt,coupe,black,first owner,20974.22,-1.3663412118520115
ford,model e,1.2221363346116805,-0.5843244001861684,petrol,-1.5355381114444449,cvt,truck,gray,third owner,17255.08,-1.2221363346116938
kia,model a,-1.3735514557140405,-1.1459991363833038,electric,-0.4966376893017819,automatic,hatchback,black,first owner,11954.77,1.3735514557140276
nissan,model d,-1.3735514557140405,1.1918343987024274,electric,0.888562873555102,manual,sedan,blue,first owner,8847.38,1.3735514557140276
chevrolet,model a,-1.3735514557140405,-0.7544685312865339,electric,1.4945881198049888,automatic,suv,white,third owner,11776.18,1.3735514557140276
kia,model b,1.654750966332634,-1.4766064347795713,electric,0.4556876976623258,manual,suv,red,third owner,24758.88,-1.6547509663326474
volkswagen,model c,-1.6619612101946761,-0.5288138491103291,petrol,1.5811631549835439,manual,hatchback,blue,first owner,7066.78,1.6619612101946633
mercedes,model b,-0.6525270695124513,-0.5243071935461824,diesel,0.8019878383765466,automatic,coupe,red,third owner,17987.14,0.6525270695124383
toyota,model a,-0.7967319467527691,0.9751691829160815,electric,-0.15033754858756104,manual,coupe,black,third owner,12101.23,0.7967319467527562
nissan,model d,1.0779314573713628,-1.4803023692369404,hybrid,0.28253762730521514,manual,suv,black,second owner,18184.21,-1.0779314573713759
nissan,model e,-1.3735514557140405,-1.2137420382761126,diesel,-0.06376251340900574,manual,sedan,red,second owner,11301.17,1.3735514557140276
chevrolet,model b,-1.6619612101946761,-1.131859206491563,hybrid,0.19596259212666023,manual,coupe,red,third owner,6532.56,1.6619612101946633
chevrolet,model b,1.5105460890923161,0.5755432891207517,hybrid,1.0617129439122126,automatic,coupe,blue,first owner,15273.52,-1.5105460890923295
volkswagen,model e,-0.940936823993087,-0.2600598022135147,electric,-0.15033754858756104,cvt,sedan,white,second owner,15204.53,0.9409368239930741
kia,model e,1.5105460890923161,-0.8430278898327825,petrol,1.2348630142693233,cvt,truck,red,second owner,18868.35,-1.5105460890923295
hyundai,model d,1.0779314573713628,-0.03230678305506177,diesel,-1.4489630762658894,manual,truck,black,first owner,14165.35,-1.0779314573713759
honda,model e,-0.5083221922721335,0.7086446190629058,petrol,0.5422627328408811,automatic,sedan,black,second owner,7792.73,0.5083221922721205
hyundai,model c,1.0779314573713628,1.6709824951772776,diesel,-1.6221131466229999,automatic,hatchback,blue,third owner,16218.44,-1.0779314573713759
chevrolet,model b,-0.36411731503181566,0.2680057751599972,electric,0.1093875569481049,automatic,suv,blue,second owner,14497.63,0.3641173150318026
honda,model c,1.3663412118519984,-0.7165673195446755,petrol,1.6677381901620996,manual,sedan,black,first owner,20826.23,-1.3663412118520115
kia,model d,0.2127021939294557,0.2591236100930942,hybrid,-0.236912583766116,automatic,truck,blue,third owner,12209.21,-0.2127021939294688
honda,model e,-0.940936823993087,-0.2002095087425712,diesel,1.4080130846264332,cvt,suv,red,first owner,9678.44,0.9409368239930741
toyota,model a,1.5105460890923161,1.1107622880246553,diesel,0.8019878383765466,cvt,coupe,gray,second owner,17302.21,-1.5105460890923295
kia,model d,-1.5177563329543584,1.0063700231578063,diesel,0.1093875569481049,automatic,truck,black,first owner,7439.84,1.5177563329543455
nissan,model e,1.0779314573713628,-1.0893678826010365,electric,1.6677381901620996,manual,sedan,gray,third owner,19237.56,-1.0779314573713759
mercedes,model a,-0.07570756055117998,0.7191482263433642,diesel,-0.15033754858756104,manual,sedan,white,second owner,14089.36,0.07570756055116692
ford,model b,-1.0851417012334048,-0.8939960182368231,electric,0.19596259212666023,manual,sedan,blue,second owner,13087.56,1.085141701233392
ford,model a,0.2127021939294557,1.700108843175189,hybrid,1.3214380494478781,automatic,truck,white,third owner,10019.65,-0.2127021939294688
volkswagen,model a,-0.07570756055117998,0.4545073968265249,hybrid,0.9751379087336569,cvt,suv,black,second owner,11011.94,0.07570756055116692
chevrolet,model c,-1.3735514557140405,-1.3300447499910637,electric,1.0617129439122126,manual,suv,blue,first owner,14199.42,1.3735514557140276
bmw,model d,-0.5083221922721335,-1.0786854397823182,diesel,0.9751379087336569,automatic,suv,gray,third owner,17519.89,0.5083221922721205
honda,model c,1.0779314573713628,-1.7508686162547873,hybrid,-0.236912583766116,automatic,truck,white,second owner,17692.82,-1.0779314573713759
bmw,model c,0.9337265801310449,-1.180872066343963,petrol,-1.1026629355516686,automatic,hatchback,red,third owner,22096.36,-0.933726580131058
hyundai,model b,-0.07570756055117998,-0.5266201331743424,diesel,1.5811631549835439,manual,suv,black,second owner,15117.77,0.07570756055116692
honda,model a,-1.2293465784737228,-0.769776853361572,diesel,-0.06376251340900574,automatic,suv,white,third owner,10777.04,1.2293465784737099
honda,model b,0.2127021939294557,-1.3340506660480829,petrol,-1.1026629355516686,cvt,coupe,white,first owner,14656.75,-0.2127021939294688
chevrolet,model b,-0.6525270695124513,0.39748270486008613,electric,-0.236912583766116,cvt,truck,blue,third owner,10000.82,0.6525270695124383
chevrolet,model a,-1.0851417012334048,-1.436022689963816,petrol,0.9751379087336569,cvt,coupe,red,third owner,11741.87,1.085141701233392
hyundai,model e,0.6453168256504092,0.20063246671292512,diesel,-0.15033754858756104,manual,truck,white,first owner,14751.75,-0.6453168256504224
kia,model e,0.7895217028907271,-1.6851167500212707,petrol,-0.6697877596588921,manual,truck,red,first owner,18377.86,-0.7895217028907402
kia,model a,-0.07570756055117998,-0.35155206358722396,petrol,-0.06376251340900574,manual,coupe,black,second owner,12782.11,0.07570756055116692
nissan,model b,-1.3735514557140405,-0.4106154806898244,diesel,1.3214380494478781,cvt,truck,red,second owner,9907.13,1.3735514557140276
bmw,model b,0.35690707116977355,1.1552088804668221,diesel,0.4556876976623258,cvt,sedan,gray,first owner,17903.96,-0.35690707116978665
hyundai,model e,-1.2293465784737228,1.1385652530394441,hybrid,-0.8429378300160029,automatic,suv,red,second owner,8823.86,1.2293465784737099
honda,model e,0.9337265801310449,-1.716782562662471,hybrid,-0.4966376893017819,automatic,suv,blue,third owner,19283.16,-0.933726580131058
hyundai,model e,0.06849731668913786,0.9376733317276118,petrol,0.1093875569481049,cvt,truck,red,first owner,11874.21,-0.06849731668915093
toyota,model e,0.06849731668913786,-0.4264603093796419,hybrid,-0.7563627948374475,manual,hatchback,black,third owner,13022.53,-0.06849731668915093
nissan,model b,0.7895217028907271,-0.32712312906093644,electric,-1.3623880410873344,automatic,sedan,red,third owner,18990.7,-0.7895217028907402
kia,model d,1.0779314573713628,1.3786579243378227,electric,-1.0160879003731134,automatic,truck,white,second owner,18865.29,-1.0779314573713759
toyota,model d,1.654750966332634,1.4337392701218383,hybrid,-1.5355381114444449,manual,hatchback,white,second owner,18562.78,-1.6547509663326474
